x,b,c,y
-35.5,-49.63,-19.56,1742.305
18.12,-32.97,10.6,-586.8164
-22.61,-29.35,43.52,707.1235
39.69,-33.65,28.61,-1306.9585
5.1,0.16,-2.06,-1.2440000000000002
11.37,47.01,6.48,540.9837
12.03,4.75,-24.32,32.8225
-49.06,40.78,-16.34,-2017.0068
-8.44,8.22,30.41,-38.966800000000006
46.65,49.68,-48.91,2268.6620000000003
-25.6,-17.93,-15.91,443.098
46.82,-24.88,24.16,-1140.7215999999999
10.43,45.32,44.2,516.8876
43.6,-26.09,-15.34,-1152.864
11.67,45.95,-23.62,512.6165
-7.13,22.96,-4.48,-168.1848
-20.96,30.99,14.67,-634.8804
-28.83,32.45,23.59,-911.9435
6.81,29.93,-9.09,194.73329999999999
-44.08,-32.69,44.05,1485.0251999999998
2.08,-38.27,-3.97,-83.5716
-31.83,-36.52,12.93,1175.3616000000002
13.84,8.44,-44.54,72.2696
-18.26,-1.62,39.32,68.9012
47.8,-24.41,-19.04,-1185.838
-1.23,-2.91,-11.51,-7.9307
-6.82,-43.18,30.12,324.6076
-5.68,15.5,46.79,-41.24999999999999
-34.16,-34.06,31.31,1194.7995999999998
9.15,-47.81,-23.18,-460.64150000000006
38.08,-22.85,39.31,-830.818
19.85,-23.06,-41.3,-499.041
-41.14,48.78,-2.1,-2008.9092
-4.78,17.97,-30.51,-116.4066
35.08,-14.25,-43.42,-543.31
-48.96,19.62,-43.18,-1003.7752
42.49,-14.3,-41.19,-648.797
32.69,45.76,30.42,1526.3144
7.83,-47.72,30.3,-343.3476
-3.29,43.78,37.8,-106.23620000000001
35.57,42.6,6.58,1521.862
-28.15,-19.54,-24.73,525.3209999999999
-37.74,-14.4,-11.61,531.846
46.28,33.53,23.61,1575.3784
1.16,18.21,48.06,69.1836
-8.17,-22.69,-29.49,155.8873
-32.69,17.73,-9.38,-588.9737
-46.24,17.33,4.37,-796.9692
-0.99,-19.93,-12.77,6.960699999999999
17.61,44.98,38.57,830.6677999999999
-26.16,27.39,8.76,-707.7624000000001
31.15,24.62,-8.4,758.513
-25.87,19.12,-2.48,-497.11440000000005
6.55,40.77,27.26,294.3035
-5.84,-14.09,-20.6,61.6856
-45.83,26.94,-32.66,-1267.3202
12.14,-10.69,-37.51,-167.2866
-49.23,37.41,35.57,-1806.1242999999997
12.62,-10.88,42.44,-94.8656
-10.1,-16.03,-26.42,135.483
-27.94,-46.29,-39.42,1253.9225999999999
-37.17,-47.59,38.81,1807.7303000000002
36.1,37.21,7.9,1351.1810000000003
-15.37,23.85,44.33,-322.2445
-39.87,34.14,-12.5,-1373.6617999999999
29.18,29.46,-22.63,837.0128
32.17,14.31,27.54,487.89270000000005
-40.16,29.63,-0.06,-1190.0007999999998
-48.57,-19.08,46.64,973.3555999999999
-29.64,33.65,33.2,-964.1859999999999
-19.07,15.93,41.59,-262.1951
35.35,16.87,-34.38,561.9745
28.16,-6.57,-22.98,-207.9912
-32.71,-36.65,-11.85,1186.9715
46.7,-2.08,-38.81,-135.94600000000003
-42.41,22.54,-18.79,-974.7113999999998
6.35,-47.93,-5.43,-309.7855
4.33,30.83,13.23,146.7239
-8.91,21.41,-10.43,-201.19310000000002
30.33,-20.01,-5.72,-612.6233000000001
-26.46,33.24,2.06,-877.4704000000002
-20.79,23.85,40.25,-455.5915
-11.93,20.18,-8.88,-249.6274
9.94,49.33,-7.2,483.1402
21.68,9.33,1.21,203.4844
-1.4,-48.86,-7.75,60.653999999999996
47.16,-2.34,24.14,-86.21439999999998
-11.65,-39.75,13.5,476.58750000000003
29.62,42.48,21.63,1279.8876
30.75,-19.34,44.74,-549.965
-36.61,14.06,7.43,-507.30660000000006
-34.09,-28.35,-17.17,949.2815000000002
29.12,42.88,4.06,1252.7256
-18.45,-41.68,-11.78,757.216
39.69,43.93,-7.95,1735.6317
2.38,25.19,6.85,66.8022
36.25,34.43,16.06,1264.1475
-30.44,6.68,-14.22,-217.5592
-4.7,-0.06,25.25,25.532
-21.09,2.37,-13.9,-63.8833
-12.03,-41.3,-10.32,486.51899999999995
-6.91,44.79,-49.3,-358.7989
-7.32,-41.87,3.23,309.71840000000003
-34.36,-23.47,-41.86,764.5691999999999
-9.65,46.94,-4.93,-457.901
-46.1,-20.89,-0.24,962.7890000000001
-36.56,6.38,36.09,-197.1628
-7.63,6.41,-40.68,-89.5883
-40.07,-28.0,-11.42,1110.54
43.55,-9.1,-17.53,-413.8349999999999
